시간	무게	무게 변화	포트	로그	상태
15_18_27_580	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_27_586	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_27_593	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_27_625	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_27_688	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_27_694	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_27_700	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_27_728	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_27_793	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_27_800	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_27_806	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_27_839	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_27_906	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_27_913	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_27_919	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_27_949	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_28_017	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_28_025	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_28_033	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_28_072	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_28_126	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_28_150	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_28_156	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
